Abaca, n., The Manila-hemp plant (Musa textilis); also
Apply, v. t., To fix closely; to engage and employ diligently
Apply, v. t., To direct or address.
Apply, v. t., To betake; to address; to refer; -- used reflexively.
Apply, v. t., To busy; to keep at work; to ply.
Apply, v. t., To visit.
Apply, v. i., To suit; to agree; to have some connection
Apply, v. i., To make request; to have recourse with a view to gain something; to make application. (to); to solicit; as
Apply, v. i., To ply; to move.
Apply, v. i., To apply or address one's self; to give application; to attend closely (to).
Appui, n., A support or supporter; a stay; a prop.
April, n., The fourth month of the year.
April, n., Fig.: With reference to April being the month in which vegetation begins to put forth
Apron, n., An article of dress
Apron, n., Something which by its shape or use suggests an apron;
Apron, n., The fat skin covering the belly of a goose or duck.
Apron, n., A piece of leather
Apron, n., A leaden plate that covers the vent of a cannon.
Apron, n., A piece of carved timber
Apron, n., A platform
Apron, n., A flooring of plank before a dam to cause the water to make a gradual descent.
Apron, n., The piece that holds the cutting tool of a planer.
Apron, n., A strip of lead which leads the drip of a wall into a gutter; a flashing.
Apron, n., The infolded abdomen of a crab.
Apsis, n., One of the two points of an orbit
Apsis, n., In a curve referred to polar coordinates
Apsis, n., Same as Apse.
Aptly, adv., In an apt or suitable manner; fitly; properly; pertinently; appropriately; readily.
Araby, n., The country of Arabia.
Arace, v. t., To tear up by the roots; to draw away.
Arara, n., The palm (or great black) cockatoo
Arbor, n., A kind of latticework formed of
Arbor, n., A tree
Arbor, n., An axle or spindle of a wheel or opinion.
Arbor, n., A mandrel in lathe turning.
Arch-, , A prefix signifying chief
-arch, a., A suffix meaning a ruler
-goes, pl., of Archipelago
Archy, a., Arched; as
archy, , A suffix properly meaning a rule
Ardor, n., Heat
Ardor, n., Warmth or heat of passion or affection; eagerness; zeal; as
Ardor, n., Bright and effulgent spirits; seraphim.
Areas, pl., of Area
Aread, v. t., Alt. of Areed
Areed, v. t., To tell
Areed, v. t., To read.
Areed, v. t., To counsel
Areed, v. t., To decree; to adjudge.
Areal, a., Of or pertaining to an area; as
Arear, v. t. & i., To raise; to set up; to stir up.
Arear, adv., Backward; in or to the rear; behindhand.
Areca, n., A genus of palms
Areek, adv. & a., In a reeking condition.
Arefy, v. t., To dry
Arena, n., The area in the central part of an amphitheater
Arena, n., Any place of public contest or exertion; any sphere of action; as
Arena, n., 'Sand' or 'gravel' in the kidneys.
Areng, n., Alt. of Arenga
Arere, v. t. & i., See Arear.
Arest, n., A support for the spear when couched for the attack.
Argal, n., Crude tartar. See Argol.
Argal, adv., A ludicrous corruption of the Latin word ergo
Argal, n., Alt. of Argali
Argas, n., A genus of venomous ticks which attack men and animals. The famous Persian Argas
Argil, n., Clay
Argol, n., Crude tartar; an acidulous salt from which cream of tartar is prepared. It exists in the juice of grapes
Argon, n., A substance regarded as an element
Argot, n., A secret language or conventional slang peculiar to thieves
Argue, v. i., To invent and offer reasons to support or overthrow a proposition
Argue, v. i., To contend in argument; to dispute; to reason; -- followed by with; as
Argue, v. t., To debate or discuss; to treat by reasoning; as
Argue, v. t., To prove or evince; too manifest or exhibit by inference
Argue, v. t., To persuade by reasons; as
Argue, v. t., To blame; to accuse; to charge with.
Argus, n., A fabulous being of antiquity
Argus, n., One very vigilant; a guardian always watchful.
Argus, n., A genus of East Indian pheasants. The common species (A. giganteus) is remarkable for the great length and beauty of the wing and tail feathers of the male. The species A. Grayi inhabits Borneo.
Arian, a. & n., See Aryan.
Arian, a., Pertaining to Arius
Arian, n., One who adheres to or believes the doctrines of Arius.
Ariel, , Alt. of Ariel gazelle
Aries, n., The Ram; the first of the twelve signs in the zodiac
Aries, n., A constellation west of Taurus
Aries, n., A battering-ram.
Arose, imp., of Arise
Arise, v. i., To come up from a lower to a higher position; to come above the horizon; to come up from one's bed or place of repose; to mount; to ascend; to rise; as
Arise, v. i., To spring up; to come into action
Arise, v. i., To proceed; to issue; to spring.
Arise, n., Rising.
Arist, , 3d sing. pres. of Arise
Arles, n. pl., An earnest; earnest money; money paid to bind a bargain.
Armed, imp. & p. p., of Arm
Armed, a., Furnished with weapons of offense or defense; furnished with the means of security or protection.
Armed, a., Furnished with whatever serves to add strength
Armed, a., Having horns
Armet, n., A kind of helmet worn in the 14th
Armil, n., A bracelet.
Armil, n., An ancient astronomical instrument.
Armor, n., Defensive arms for the body; any clothing or covering worn to protect one's person in battle.
Armor, n., Steel or iron covering
Arnee, n., The wild buffalo of India (Bos
Arnot, n., Alt. of Arnut
Arnut, n., The earthnut.
Aroid, a., Alt. of Aroideous
Aroma, n., The quality or principle of plants or other substances which constitutes their fragrance; agreeable odor; as
Aroma, n., Fig.: The fine diffusive quality of intellectual power; flavor; as
Aroph, n., A barbarous word used by the old chemists to designate various medical remedies.
Arose, , The past or preterit tense of Arise.
Arpen, n., Formerly
Arras, n., Tapestry; a rich figured fabric; especially
Arras, v. t., To furnish with an arras.
Array, n., Order; a regular and imposing arrangement; disposition in regular lines; hence
Array, n., The whole body of persons thus placed in order; an orderly collection; hence
Array, n., An imposing series of things.
Array, n., Dress; garments disposed in order upon the person; rich or beautiful apparel.
Array, n., A ranking or setting forth in order
Array, n., The panel itself.
Array, n., The whole body of jurors summoned to attend the court.
Array, n., To place or dispose in order
Array, n., To deck or dress; to adorn with dress; to cloth to envelop; -- applied esp. to dress of a splendid kind.
Array, n., To set in order
Arret, n., A judgment
Arret, n., An arrest; a legal seizure.
Arret, v. t., Same as Aret.
Arris, n., The sharp edge or salient angle formed by two surfaces meeting each other
Arrow, n., A missile weapon of offense
Arsis, n., That part of a foot where the ictus is put
Arsis, n., That elevation of voice now called metrical accentuation
Arsis, n., The elevation of the hand
Arson, n., The malicious burning of a dwelling house or outhouse of another man
Artly, adv., With art or skill.
Artow, , A contraction of art thou.
Arval, n., A funeral feast.
Aryan, n., One of a primitive people supposed to have lived in prehistoric times
Aryan, n., The language of the original Aryans.
Aryan, a., Of or pertaining to the people called Aryans; Indo-European; Indo-Germanic; as
Asses, pl., of As
Ascii, n. pl., Alt. of Ascians
Ascus, n., A small membranous bladder or tube in which are inclosed the seedlike reproductive particles or sporules of lichens and certain fungi.
A-sea, adv., On the sea; at sea; toward the sea.
Ashen, a., Of or pertaining to the ash tree.
Ashen, a., Consisting of
Ashen, n., obs. pl. for Ashes.
Ashes, n. pl., The earthy or mineral particles of combustible substances remaining after combustion
Ashes, n. pl., Specifically: The remains of the human body when burnt
Ashes, n. pl., The color of ashes; deathlike paleness.
Asian, a., Of or pertaining to Asia; Asiatic.
Asian, n., An Asiatic.
Aside, adv., On
Aside, adv., Out of one's thoughts; off; away; as
Aside, adv., So as to be heard by others; privately.
Aside, n., Something spoken aside; as
Asked, imp. & p. p., of Ask
Asker, n., One who asks; a petitioner; an inquirer.
Asker, n., An ask; a water newt.
Askew, adv. & a., Awry; askance; asquint; oblique or obliquely; -- sometimes indicating scorn
Aslug, adv., Sluggishly.
Asoak, a., Soaking.
Aspen, n., Alt. of Asp
Aspen, a., Of or pertaining to the aspen
Asper, a., Rough; rugged; harsh; bitter; stern; fierce.
Asper, n., The rough breathing; a mark (/) placed over an initial vowel sound or over / to show that it is aspirated
Asper, n., A Turkish money of account (formerly a coin)
Aspic, n., The venomous asp.
Aspic, n., A piece of ordnance carrying a 12 pound shot.
Aspic, n., A European species of lavender (Lavandula spica)
Aspic, n., A savory meat jelly containing portions of fowl
Assai, , A direction equivalent to very; as
Assay, n., Trial; attempt; essay.
Assay, n., Examination and determination; test; as
Assay, n., Trial by danger or by affliction; adventure; risk; hardship; state of being tried.
Assay, n., Tested purity or value.
Assay, n., The act or process of ascertaining the proportion of a particular metal in an ore or alloy; especially
Assay, n., The alloy or metal to be assayed.
Assay, v., To try; to attempt; to apply.
Assay, v., To affect.
Assay, v., To try tasting
Assay, v., To subject
Assay, v. i., To attempt
Asset, n., Any article or separable part of one's assets.
Assot, v. t., To besot; to befool; to beguile; to infatuate.
Assot, a., Dazed; foolish; infatuated.
Astay, adv., An anchor is said to be astay
Astel, n., An arch
Aster, n., A genus of herbs with compound white or bluish flowers; starwort; Michaelmas daisy.
Aster, n., A plant of the genus Callistephus. Many varieties (called China asters
Astir, adv. & a., Stirring; in a state of activity or motion; out of bed.
Aston, v. t., Alt. of Astone
Astun, v. t., To stun.
Asura, n., An enemy of the gods
Asyla, pl., of Asylum
Atake, v. t., To overtake.
Ataxy, n., Disorder; irregularity.
Ataxy, n., Irregularity in disease
Ataxy, n., The state of disorder that characterizes nervous fevers and the nervous condition.
Atilt, adv., In the manner of a tilter; in the position
Atilt, adv., In the position of a cask tilted
Atimy, n., Public disgrace or stigma; infamy; loss of civil rights.
Atlas, n., One who sustains a great burden.
Atlas, n., The first vertebra of the neck
Atlas, n., A collection of maps in a volume
Atlas, n., A volume of plates illustrating any subject.
Atlas, n., A work in which subjects are exhibited in a tabular from or arrangement; as
Atlas, n., A large
Atlas, n., A drawing paper of large size. See under Paper
Atlas, n., A rich kind of satin manufactured in India.
Atoll, n., A coral island or islands
Atomy, n., An atom; a mite; a pigmy.
Atomy, n., A skeleton.
Atone, v. i., To agree; to be in accordance; to accord.
Atone, v. i., To stand as an equivalent; to make reparation
Atone, v. t., To set at one; to reduce to concord; to reconcile
Atone, v. t., To unite in making.
Atone, v. t., To make satisfaction for; to expiate.
Atony, n., Want of tone; weakness of the system
Atrip, adv., Just hove clear of the ground; -- said of the anchor.
Atrip, adv., Sheeted home
Atrip, adv., Hoisted up and ready to be swayed across; -- said of yards.
Atria, pl., of Atrium
Attal, n., Same as Attle.
Attar, n., A fragrant essential oil; esp.
Atter, n., Poison; venom; corrupt matter from a sore.
Attic, a., Of or pertaining to Attica
Attic, a., A low story above the main order or orders of a facade
